,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1124,31442404,https://www.airbnb.com/rooms/31442404,20240917031409,2024-09-17,city scrape,Apartment-Classic-Private Bathroom-Courtyard view,"Casa Bologna Fiera is the ideal apartment for short or long stays, with all the comforts to make your stay at its best. The house is recently structured, overlooks the internal courtyard of the building and is bright and quiet. The apartment is located near banks, restaurants, parks, and supermarkets.",,https://a0.muscache.com/pictures/prohost-api/Hosting-31442404/original/c3074b55-865b-49d9-9c4e-7f402599241c.jpeg,235522590,https://www.airbnb.com/users/show/235522590,Anna,2019-01-09,"Bologna, Italy",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/ee998547-45af-48c6-a847-cd3fe96decfc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ee998547-45af-48c6-a847-cd3fe96decfc.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Navile,,44.51342,11.35309,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Bed linens"", ""Dining table"", ""Central air conditioning"", ""Clothing storage: wardrobe"", ""HDTV with standard cable"", ""Hangers"", ""Fast wifi \u2013 324 Mbps"", ""Essentials"", ""Hot water kettle"", ""Cleaning products"", ""Oven"", ""Private patio or balcony"", ""Dishwasher"", ""Iron"", ""Ethernet connection"", ""Heating"", ""Extra pillows and blankets"", ""Crib"", ""Courtyard view"", ""Refrigerator"", ""Paid parking off premises"", ""Drying rack for clothing"", ""Hot water"", ""Shampoo"", ""Room-darkening shades"", ""Dishes and silverware"", ""First aid kit"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""Host greets you"", ""Bidet"", ""Free dryer \u2013 In unit"", ""Microwave"", ""Hair dryer"", ""Kitchen"", ""Coffee maker""]",$343.00,1,1125,1,3,365,365,1.1,365.0,,t,21,44,65,72,2024-09-17,31,7,0,2019-02-10,2024-04-09,4.87,4.97,5.0,4.94,4.9,4.65,4.68,037006-AT-01135,t,1,1,0,0,0.45
1146,31687431,https://www.airbnb.com/rooms/31687431,20240917031409,2024-09-17,city scrape,Loft comodo e incantevole in centro a Bologna,"Welcome to the heart of the historic center of Bologna! Our large mezzanine studio, located in the charming setting of a typical Bolognese palace, is the ideal retreat for those who want to explore the city or are on a business trip. The strategic location is immersed in the vibrant university area and offers convenient connections to the train station, the Fiere area, the main theaters, cultural venues and hospitals.","If you are a tourist with a passion for food and wine and with the desire to have fun, you can discover within a few hundred meters a large number of restaurants, typical trattorias, wine bars, and trendy clubs. <br />You will also find yourself immersed in the historic and thousand-year university area of Bologna.",https://a0.muscache.com/pictures/airflow/Hosting-31687431/original/27077bb7-a104-4898-9b34-609e5ea3d494.jpg,237616143,https://www.airbnb.com/users/show/237616143,Anna,2019-01-19,"Bologna, Italy",,within an hour,100%,97%,t,https://a0.muscache.com/im/pictures/user/2a0c6a51-a2f8-429b-9183-0b6154703004.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2a0c6a51-a2f8-429b-9183-0b6154703004.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.49907,11.34698,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""32 inch HDTV"", ""Bed linens"", ""Dining table"", ""Fire extinguisher"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Essentials"", ""Hot water kettle"", ""Cleaning products"", ""Iron"", ""Body soap"", ""Heating"", ""Private entrance"", ""Wine glasses"", ""Courtyard view"", ""Refrigerator"", ""Drying rack for clothing"", ""Hot water"", ""Shampoo"", ""Room-darkening shades"", ""Wifi \u2013 6 Mbps"", ""Dishes and silverware"", ""Paid parking garage off premises"", ""Cooking basics"", ""Freezer"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Smoke alarm"", ""Host greets you"", ""Laundromat nearby"", ""Shower gel"", ""Stainless steel gas stove"", ""Bidet"", ""Microwave"", ""Hair dryer"", ""Kitchen"", ""Air conditioning"", ""Carbon monoxide alarm""]",$159.00,13,29,1,13,1125,1125,12.2,1125.0,,t,8,11,21,98,2024-09-17,94,24,0,2019-02-05,2024-07-22,4.93,4.89,4.97,4.91,4.93,4.96,4.83,IT037006C2HOLR46D3,f,1,1,0,0,1.37
1179,32327601,https://www.airbnb.com/rooms/32327601,20240917031409,2024-09-17,city scrape,LOFT GARDEN in Bologna's heart OSPEDALE RIZZOLI,"Loft with private entrance and private garden, in the heart of Bologna ten minutes walk from Piazza Maggiore, nearby there are points of interest in the city. Very close to the Rizzoli Hospital, at the foot of the Bolognese hills, a stone's throw from Villa Ghigi Park. The loft is on the ground floor, has a double room, dining room with TV, Wi-Fi and sofa bed, kitchen, washing machine, bathroom with shower, washbasin, toilet and bidet. Guests will be able to take advantage of the entire apartment.","The loft is located in a side street of Via S. Mamolo, a few steps from the Walls of Porta D'Azeglio, the area is characterized by clubs, bars and places where to spend the hours of the evening or for typical lunches, it is a green area of Bologna at the foot of the Bolognese Hills, in a few minutes you can reach the Parks of the Margherita Gardens, Villa Ghigi or the more hilly Cavaioni Park. The historic centre is just a few minutes away on foot and all areas of interest are within easy reach. Nearby are the Rizzoli Hospital, Villa Bellombre and Villalba.",https://a0.muscache.com/pictures/4941a08f-8250-44e1-bb34-0823635f33fa.jpg,24228659,https://www.airbnb.com/users/show/24228659,Anna,2014-11-27,"Bologna, Italy",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/4bad6767-3a91-489e-a1ca-e147dca2747b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4bad6767-3a91-489e-a1ca-e147dca2747b.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.48317,11.33894,Entire loft,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Dining table"", ""Hangers"", ""Stove"", ""Essentials"", ""Hot water kettle"", ""Private patio or balcony"", ""Heating"", ""Wifi"", ""Private entrance"", ""Wine glasses"", ""Refrigerator"", ""Toaster"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Shampoo"", ""Dishes and silverware"", ""Private backyard \u2013 Fully fenced"", ""Cooking basics"", ""Freezer"", ""Garden view"", ""Outdoor dining area"", ""Washer"", ""Long term stays allowed"", ""Bidet"", ""Microwave"", ""TV"", ""Outdoor furniture"", ""Hair dryer"", ""Kitchen"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Coffee maker""]",$72.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,4,14,41,272,2024-09-17,187,40,3,2019-03-03,2024-09-10,4.65,4.71,4.71,4.92,4.91,4.79,4.61,IT037006C2R5WAC7PQ,t,2,2,0,0,2.77
1303,34591800,https://www.airbnb.com/rooms/34591800,20240917031409,2024-09-17,city scrape,LOFT PORTICI in Bologna city,"In the heart of the city, loft with terrace, five minutes walk from Piazza Maggiore and the Two Towers. The LOFT is on the ground floor, an OPEN SPACE on three levels, entrance to the dining room with access to the terrace and kitchen (induction plates, oven, fridge, toaster), 1 bedroom with double bed in the mezzanine (2 guests), 1 Smart TV room and sofa bed (single for 1 guest or double for 2 guests), bathroom. Entire apartment available, limited traffic area.","It is located in the center, in the Portici area of Bologna, in the surroundings of typical locals and bars, 5 minutes walk from Piazza Maggiore.",https://a0.muscache.com/pictures/miso/Hosting-34591800/original/adef7b4b-434a-4084-895b-49125e236348.jpeg,24228659,https://www.airbnb.com/users/show/24228659,Anna,2014-11-27,"Bologna, Italy",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/4bad6767-3a91-489e-a1ca-e147dca2747b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4bad6767-3a91-489e-a1ca-e147dca2747b.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,,44.48962,11.33591,Entire loft,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Bed linens"", ""Dining table"", ""Stainless steel oven"", ""A Induzione electric stove"", ""Central air conditioning"", ""Clothing storage: closet"", ""Hangers"", ""Essentials"", ""Private patio or balcony"", ""Wifi"", ""Wine glasses"", ""Refrigerator"", ""Toaster"", ""Hot water"", ""Dishes and silverware"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""Self check-in"", ""Books and reading material"", ""Outdoor dining area"", ""30 inch HDTV"", ""Bidet"", ""Lockbox"", ""Central heating"", ""Hair dryer"", ""Kitchen"", ""Carbon monoxide alarm"", ""Coffee maker""]",$104.00,1,365,1,1,365,365,1.0,365.0,,t,3,12,35,235,2024-09-17,181,62,4,2022-02-14,2024-09-10,4.85,4.86,4.92,4.91,4.94,4.81,4.78,IT037006C2NZNMKJ8Y,t,2,2,0,0,5.73
1531,40524705,https://www.airbnb.com/rooms/40524705,20240917031409,2024-09-17,city scrape,Architect's Pad in Bologna,,"We are in the heart of the center of Bologna, wonderful and full of life.The neighborhood is very elegant and surrounded by the best restaurants and trattorias in Bologna, museums and boutiques.",https://a0.muscache.com/pictures/13bddc0d-45f5-4c8d-90a5-93df4b43fa46.jpg,313753496,https://www.airbnb.com/users/show/313753496,Anna,2019-12-02,"Castelfranco Emilia, Italy",,within a day,100%,71%,f,https://a0.muscache.com/im/pictures/user/4d640ec7-bf7a-4c0d-b483-0d7070099f88.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4d640ec7-bf7a-4c0d-b483-0d7070099f88.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.49358,11.34957,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Iron"", ""TV"", ""Heating"", ""Wifi"", ""Elevator"", ""Hair dryer"", ""Hangers"", ""Kitchen"", ""Air conditioning"", ""Washer"", ""Essentials""]",$140.00,5,160,5,5,160,160,5.0,160.0,,t,6,26,56,313,2024-09-17,28,6,0,2021-09-30,2024-02-05,4.79,4.93,4.75,4.75,4.75,5.0,4.89,,f,1,1,0,0,0.77
1603,41738899,https://www.airbnb.com/rooms/41738899,20240917031409,2024-09-17,city scrape,Casa Garbo,"Elegant and refined apartment of about 100 square meters, located on the 5th floor ( with elevator ) of a stately building in the heart of the historic center.<br />The apartment, very quiet, overlooks a magnificent terrace with wonderful views of the city.<br />It's a 5-minute walk to Piazza Maggiore and the central station.<br /><br />Elegant apartment of 100 mq located on the 5th floor ( with elevator ) of an exclusive building, very quite with a lovely terrace with a breathtaking view of the old town of Bologna.","The apartment is located in the historic center, in the heart of the city. The area is well served by taxis and public transport and services/shops of all kinds.",https://a0.muscache.com/pictures/ba8790a7-c08c-41c8-ab81-97daebdc8d90.jpg,329624550,https://www.airbnb.com/users/show/329624550,Anna,2020-01-21,"Case Grandi, Italy",,within a day,80%,90%,t,https://a0.muscache.com/im/pictures/user/5c16d634-53df-4669-b04b-c9943014ede5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/5c16d634-53df-4669-b04b-c9943014ede5.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Porto - Saragozza,,44.49788,11.34013,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Bed linens"", ""Fire extinguisher"", ""Breakfast"", ""TV with standard cable"", ""Hangers"", ""Stove"", ""Essentials"", ""Oven"", ""Dishwasher"", ""Iron"", ""Heating"", ""Extra pillows and blankets"", ""Wifi"", ""Private entrance"", ""Patio or balcony"", ""Refrigerator"", ""Paid parking off premises"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Baking sheet"", ""First aid kit"", ""Cooking basics"", ""Smoke alarm"", ""Washer"", ""Shower gel"", ""Pets allowed"", ""Hair dryer"", ""Kitchen"", ""Air conditioning"", ""Carbon monoxide alarm"", ""Coffee maker""]",$113.00,3,29,3,3,29,29,3.0,29.0,,t,4,8,19,213,2024-09-17,182,45,4,2020-10-14,2024-08-30,4.89,4.92,4.87,4.9,4.88,4.96,4.88,,f,1,1,0,0,3.8
2250,596115272964024223,https://www.airbnb.com/rooms/596115272964024223,20240917031409,2024-09-17,city scrape,Look-out: vista magnifica e bagno privato,"Entire second independent floor of an apartment on the porch of the services: 550 meters from the Two Towers, in a building of 1850 linked by Fine Arts. The strategic location in the heart of downtown allows you to visit the historic center easily on foot.<br /><br />1 bath on the floor<br />1 double bedroom<br />Fridge, Nespresso machine and kettle;<br /><br />Unique view of the porch and the Basilica of Santa Maria dei Servi (14th century) and a quiet inner courtyard. Bed linen and towels included.",,https://a0.muscache.com/pictures/miso/Hosting-596115272964024223/original/efd4cf8c-b8fd-4fcb-a838-8add40a49512.jpeg,16031215,https://www.airbnb.com/users/show/16031215,Anna,2015-03-17,"Bologna, Italy",,within a few hours,100%,88%,t,https://a0.muscache.com/im/users/16031215/profile_pic/1444218049/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/16031215/profile_pic/1444218049/original.jpg?aki_policy=profile_x_medium,,1,2,['phone'],t,t,,Santo Stefano,,44.49241,11.35293,Private room in bed and breakfast,Private room,2,1.0,1 private bath,1.0,1.0,"[""Smart lock"", ""City skyline view"", ""Iron"", ""Dedicated workspace"", ""Self check-in"", ""Heating"", ""Wifi"", ""Crib"", ""Hair dryer"", ""Courtyard view"", ""Air conditioning""]",$117.00,1,365,1,1,365,365,1.0,365.0,,t,10,38,68,84,2024-09-17,78,10,1,2022-04-10,2024-09-01,4.86,4.86,4.96,4.97,4.95,4.97,4.64,,f,1,0,1,0,2.62
2479,692063169828367841,https://www.airbnb.com/rooms/692063169828367841,20240917031409,2024-09-17,city scrape,Casa Alderotti,"Enjoy your stay in Bologna relaxing in a cosy and comfortable house!<br />Strategic and well-connected location: 5 min by car from the airport, 10 min from the Unipol Arena and 100 m from the bus stop to the city centre.<br />Casa Alderotti is suitable for several types of guests: tourists, families and business travellers.",Very quiet residential neighbourhood well provided with services,https://a0.muscache.com/pictures/miso/Hosting-692063169828367841/original/02811ae8-8d2a-4c9f-bde4-d118ee45e7f8.jpeg,128861195,https://www.airbnb.com/users/show/128861195,Anna,2017-05-04,"Bologna, Italy",Nata a Bologna e Host professionista: conoscervi e sapere il motivo per cui siete qui può aiutarmi a rendere il soggiorno più adatto alle vostre esigenze :),within an hour,100%,100%,,https://a0.muscache.com/im/pictures/user/User-128861195/original/9e1376c0-dc37-45d7-a440-e39a113b783b.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-128861195/original/9e1376c0-dc37-45d7-a440-e39a113b783b.jpeg?aki_policy=profile_x_medium,,5,7,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Borgo Panigale - Reno,,44.50415,11.29322,Entire vacation home,Entire home/apt,5,1.0,1 bath,2.0,3.0,"[""Bed linens"", ""Dining table"", ""Hangers"", ""Clothing storage: closet and dresser"", ""Booster seat high chair - available upon request"", ""Essentials"", ""Hot water kettle"", ""Cleaning products"", ""City skyline view"", ""Private patio or balcony"", ""Coffee maker: espresso machine"", ""Iron"", ""Body soap"", ""Board games"", ""Children\u2019s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old"", ""Extra pillows and blankets"", ""Wifi"", ""Wine glasses"", ""Courtyard view"", ""Refrigerator"", ""Free street parking"", ""Drying rack for clothing"", ""Hot water"", ""Shampoo"", ""Room-darkening shades"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Mosquito net"", ""First aid kit"", ""Cooking basics"", ""Freezer"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Self check-in"", ""AC - split type ductless system"", ""Books and reading material"", ""Crib - available upon request"", ""Portable fans"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Single level home"", ""Shower gel"", ""Samsung induction stove"", ""Bidet"", ""Coffee"", ""Microwave"", ""Lockbox"", ""Babysitter recommendations"", ""Central heating"", ""Elevator"", ""Hair dryer"", ""Kitchen"", ""Blender""]",$849.00,1,10,1,1,1125,1125,1.0,1125.0,,t,7,25,40,40,2024-09-17,110,14,1,2022-09-02,2024-09-02,4.93,4.99,4.97,4.89,4.95,4.6,4.85,CIR 037006-AF-00536,t,1,1,0,0,4.42
2546,719359313974840108,https://www.airbnb.com/rooms/719359313974840108,20240917031409,2024-09-17,city scrape,Appartamento Sulle Mura,"Thanks to the central location of this accommodation, the entire group will have easy access to all local attractions. The apartment is located near the Central Station, the Autostazione and the center of Bologna. A stone's throw from the Fair, nearby supermarkets, renowned breakfast bars. Air Conditioning, Autonomous Heating.  Cinema with Projector. (Netflix etc) Small airy space for breakfast or smoking etc.","Very central neighborhood, with nearby park, nearby station and car station, ZTL access allowed at all hours (no camera) . Buses to reach all destinations 50 m away. Apartment located in front of a castle. Supermarkets, Pet Shop, Pharmacies, Gas Station 50m Eni with Car Rental (Enjoy), Close to the University Area.",https://a0.muscache.com/pictures/miso/Hosting-719359313974840108/original/f6fd0e54-0c3b-4c35-9b96-32dd5ec7f4b8.jpeg,167531011,https://www.airbnb.com/users/show/167531011,Anna,2018-01-13,"Bologna, Italy","Salve sono Anna , sono nata e cresciuta nel centro storico di Bologna . Ho frequentato l'istituto Magistrale ed oggi sono un' insegnante.
Adoro viaggiare e  conoscere  persone da tutte le parti del mondo. Conosco bene Bologna e posso darti tanti consigli per farti vivere una bella esperienza sia gastronomica che culturale.
Amo cucinare , mi diverto a sperimentare nuovi piatti e condividerli con gli amici.
Oltre la cucina, cinema e libri sono il mio relax preferito.",a few days or more,0%,0%,f,https://a0.muscache.com/im/pictures/user/336cdad9-5364-4194-af10-37c3d3d4ff4a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/336cdad9-5364-4194-af10-37c3d3d4ff4a.jpg?aki_policy=profile_x_medium,,1,3,"['email', 'phone']",t,f,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.5024,11.35115,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Bed linens"", ""Dining table"", ""Central air conditioning"", ""Hangers"", ""Safe"", ""Essentials"", ""Cleaning products"", ""Exterior security cameras on property"", ""TV with Netflix"", ""Eletrolux  refrigerator"", ""Wine glasses"", ""Hot water"", ""Room-darkening shades"", ""Dishes and silverware"", ""Mosquito net"", ""First aid kit"", ""Cooking basics"", ""Dedicated workspace"", ""Smoking allowed"", ""Pets allowed"", ""Bidet"", ""Microwave"", ""Central heating"", ""Hair dryer"", ""Kitchen""]",$131.00,2,365,2,2,365,365,2.0,365.0,,t,25,55,85,85,2024-09-17,2,0,0,2022-10-09,2022-10-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.08
2889,818739578441605160,https://www.airbnb.com/rooms/818739578441605160,20240917031409,2024-09-17,city scrape,stanza centrale,This elegant accommodation is perfect for single or couple new apartment in the center of Bologna near the fair convenient to services and supermarkets. A stone's throw from the train station and downtown. 10 minutes from the fair,,https://a0.muscache.com/pictures/miso/Hosting-818739578441605160/original/41413e79-e727-49d6-ac22-0600a373b09a.jpeg,88707458,https://www.airbnb.com/users/show/88707458,Anna,2016-08-08,"Bologna, Italy",Sono lieta di ospitarti nel mio appartamento,within an hour,100%,85%,f,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'work_email']",t,t,,Navile,,44.50884,11.34562,Private room in rental unit,Private room,1,1.0,1 shared bath,2.0,1.0,"[""First aid kit"", ""Iron"", ""Dedicated workspace"", ""Pets allowed"", ""Heating"", ""Wifi"", ""Private entrance"", ""Elevator"", ""Hangers"", ""Kitchen"", ""Washer"", ""Essentials""]",$93.00,3,365,3,3,365,365,3.0,365.0,,t,30,60,90,365,2024-09-17,1,0,0,2023-03-18,2023-03-18,3.0,4.0,2.0,4.0,5.0,5.0,3.0,,f,5,0,5,0,0.05
2906,822951435568440655,https://www.airbnb.com/rooms/822951435568440655,20240917031409,2024-09-17,city scrape,Gini Elegant Home,"Elegant studio inside a palace of historical importance equipped with elevator, located in the historic center of Bologna will allow you to reach the main attractions of the city on foot. It consists of entrance, fully equipped kitchen, dining table, double sofa bed, smart TV, double bed, air conditioning, bathroom with shower and washing machine, unlimited wifi.","The apartment is located in the heart of the city,  at a convenient distance from the station, from here you can reach all the main attractions of the city on foot:<br /><br />Piazza Maggiore: 8 minutes<br />Two towers: 8 minutes walk<br />Window of via Piella: 1 minute walk<br />Central Station: 13 minutes on foot<br />Archipelago - 12 min walk<br />St. Stephen's Basilica: 12 minute walk",https://a0.muscache.com/pictures/miso/Hosting-822951435568440655/original/89f44dcd-745d-41d8-871e-25e5df367a17.jpeg,500282392,https://www.airbnb.com/users/show/500282392,Anna,2023-02-09,,,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/4f57177e-5ebd-441e-8e29-d59786b03131.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4f57177e-5ebd-441e-8e29-d59786b03131.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bologna, Emilia-Romagna, Italy",Santo Stefano,,44.49945,11.34521,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Bed linens"", ""Dining table"", ""Clothing storage: closet"", ""Hangers"", ""Essentials"", ""Hot water kettle"", ""Cleaning products"", ""Oven"", ""Dishwasher"", ""Iron"", ""Body soap"", ""Coffee maker: espresso machine"", ""Heating"", ""Wifi"", ""Refrigerator"", ""Hot water"", ""Shampoo"", ""Dishes and silverware"", ""Induction stove"", ""Cooking basics"", ""Baking sheet"", ""Freezer"", ""Washer"", ""Shower gel"", ""Cleaning available during stay"", ""Coffee"", ""Bidet"", ""TV"", ""Elevator"", ""Hair dryer"", ""Kitchen"", ""Air conditioning""]",$188.00,2,365,2,5,365,365,4.7,365.0,,t,13,43,73,332,2024-09-17,52,30,2,2023-03-10,2024-09-05,4.75,4.85,4.87,4.87,4.83,4.96,4.67,037006-AT-02623,t,1,1,0,0,2.8
2932,829179757721236560,https://www.airbnb.com/rooms/829179757721236560,20240917031409,2024-09-17,city scrape,Stanza singola fiera centro,Stay and have fun at this comfortable place to stay.,,https://a0.muscache.com/pictures/9c99eadb-8415-4e81-b509-f620d5c0b0cd.jpg,88707458,https://www.airbnb.com/users/show/88707458,Anna,2016-08-08,"Bologna, Italy",Sono lieta di ospitarti nel mio appartamento,within an hour,100%,85%,f,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d785ed0e-1495-4585-a3d1-c5fd4bc58899.jpg?aki_policy=profile_x_medium,,5,5,"['email', 'phone', 'work_email']",t,t,,Navile,,44.50847,11.34563,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Dishes and silverware"", ""First aid kit"", ""Iron"", ""Pets allowed"", ""Heating"", ""Wifi"", ""Private entrance"", ""Kitchen"", ""Elevator"", ""Hangers"", ""Lock on bedroom door"", ""Washer"", ""Essentials""]",$95.00,2,365,2,2,365,365,2.0,365.0,,t,30,60,90,365,2024-09-17,2,1,0,2023-03-09,2024-03-25,3.0,3.0,4.5,3.0,2.5,4.0,2.5,,f,5,0,5,0,0.11
3583,978935930836248729,https://www.airbnb.com/rooms/978935930836248729,20240917031409,2024-09-17,city scrape,B&B Bella Bologna -double room private bathroom,"Our B&B is located in one of the most old part of downtown, just outside of the door you’ll be already in the sightseeing part of the city and even though silence and peace are the perfect words to describe it. <br />The breakfast is included and served in the cortyard or in the dining hall in case of bad weather. You’ll find a buffet of local products; sweet, continental, gluten free and vegetarian options.",,https://a0.muscache.com/pictures/decaccc0-2f19-45d5-abb4-c8012e61796d.jpg,126564226,https://www.airbnb.com/users/show/126564226,Anna,2017-04-19,"Bologna, Italy","Hi, 
I’m a swimming instructor and a tourist guide here in Bologna. swimming is my passion since I’m a kid and I also love to meet and interact with many people every day, share our stories and local tips.

Following the klokkargarden listing is my good friend Kris:
“I’m the pub manager of Aegir Bryggeri in Flåm, I love my job, since interacting with new people gives a constant and wonderful surprise every day”",within an hour,100%,99%,t,https://a0.muscache.com/im/pictures/user/User-126564226/original/0ebfac56-caff-4f01-ac68-5d10a3ddae62.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-126564226/original/0ebfac56-caff-4f01-ac68-5d10a3ddae62.jpeg?aki_policy=profile_x_medium,,4,4,"['email', 'phone']",t,t,,Santo Stefano,,44.4930715,11.355136,Private room in bed and breakfast,Private room,2,1.0,1 bath,1.0,1.0,"[""Bed linens"", ""Breakfast"", ""Clothing storage: closet"", ""Hangers"", ""Essentials"", ""Cleaning products"", ""Iron"", ""Board games"", ""Extra pillows and blankets"", ""Wifi"", ""Refrigerator"", ""Lock on bedroom door"", ""Hot water"", ""Conditioner"", ""Shampoo"", ""Room-darkening shades"", ""Dishes and silverware"", ""Mosquito net"", ""First aid kit"", ""Self check-in"", ""Books and reading material"", ""Outdoor dining area"", ""Nivea body soap"", ""Shower gel"", ""Keypad"", ""Pets allowed"", ""Bidet"", ""TV"", ""Theme room"", ""Central heating"", ""Hair dryer"", ""Kitchen"", ""Air conditioning"", ""Coffee maker""]",$131.00,1,7,1,1,7,999,1.0,184.9,,t,0,14,38,44,2024-09-17,10,10,0,2023-09-27,2024-01-30,4.9,4.9,4.8,5.0,5.0,4.9,4.9,037006-AF-00635,t,3,0,3,0,0.84
